center_x_px,center_y_px,row_index,col_index,pred_x_px,pred_y_px,residual_px
6.875858895705521263e+02,9.545858895705521263e+02,2.300000000000000000e+01,1.400000000000000000e+01,6.870349794238697996e+02,9.543750599206767902e+02,5.898738263256809722e-01
2.625000000000000000e+02,9.226915113871635867e+02,2.200000000000000000e+01,1.000000000000000000e+00,2.621810699588478428e+02,9.216898663126654583e+02,1.051194190630674097e+00
2.298710010319917387e+02,9.228710010319916819e+02,2.200000000000000000e+01,0.000000000000000000e+00,2.295000000000000000e+02,9.216898663126654583e+02,1.238031094495114948e+00
1.047576470588235225e+03,9.221117647058823650e+02,2.200000000000000000e+01,2.500000000000000000e+01,1.046526748971195957e+03,9.216898663126654583e+02,1.131332721827907895e+00
1.014853333333333239e+03,9.220882051282051179e+02,2.200000000000000000e+01,2.400000000000000000e+01,1.013845679012348228e+03,9.216898663126654583e+02,1.083531745065784202e+00
9.819526686807653277e+02,9.220473313192345586e+02,2.200000000000000000e+01,2.300000000000000000e+01,9.811646090535003850e+02,9.216898663126654583e+02,8.653434041156189416e-01
9.491737373737373673e+02,9.220000000000000000e+02,2.200000000000000000e+01,2.200000000000000000e+01,9.484835390946525422e+02,9.216898663126654583e+02,7.566746780957939178e-01
9.164166666666666288e+02,9.220000000000000000e+02,2.200000000000000000e+01,2.100000000000000000e+01,9.158024691358046994e+02,9.216898663126654583e+02,6.880563283166647448e-01
8.838069105691056393e+02,9.219603658536585726e+02,2.200000000000000000e+01,2.000000000000000000e+01,8.831213991769568565e+02,9.216898663126654583e+02,7.369503853335364063e-01
8.510000000000000000e+02,9.220000000000000000e+02,2.200000000000000000e+01,1.900000000000000000e+01,8.504403292181090137e+02,9.216898663126654583e+02,6.398548961461396622e-01
8.181466666666666470e+02,9.219117948717947684e+02,2.200000000000000000e+01,1.800000000000000000e+01,8.177592592592611709e+02,9.216898663126654583e+02,4.464714824821896522e-01
7.856398809523809632e+02,9.219375000000000000e+02,2.200000000000000000e+01,1.700000000000000000e+01,7.850781893004133281e+02,9.216898663126654583e+02,6.138566241338709872e-01
7.529413580246913398e+02,9.219413580246913398e+02,2.200000000000000000e+01,1.600000000000000000e+01,7.523971193415654852e+02,9.216898663126654583e+02,5.995363420413087896e-01
7.201466666666666470e+02,9.219117948717947684e+02,2.200000000000000000e+01,1.500000000000000000e+01,7.197160493827176424e+02,9.216898663126654583e+02,4.844414625038089284e-01
6.875572289156626766e+02,9.219367469879517785e+02,2.200000000000000000e+01,1.400000000000000000e+01,6.870349794238697996e+02,9.216898663126654583e+02,5.776630501492611147e-01
6.549006211180123955e+02,9.219596273291925854e+02,2.200000000000000000e+01,1.300000000000000000e+01,6.543539094650219567e+02,9.216898663126654583e+02,6.096430410931358290e-01
6.221466666666666470e+02,9.219117948717947684e+02,2.200000000000000000e+01,1.200000000000000000e+01,6.216728395061741139e+02,9.216898663126654583e+02,5.232250599671506297e-01
5.894636363636363967e+02,9.219757575757575978e+02,2.200000000000000000e+01,1.100000000000000000e+01,5.889917695473262711e+02,9.216898663126654583e+02,5.517174155734734242e-01
5.569197530864197461e+02,9.220000000000000000e+02,2.200000000000000000e+01,1.000000000000000000e+01,5.563106995884784283e+02,9.216898663126654583e+02,6.834684099314862760e-01
5.241187499999999773e+02,9.220000000000000000e+02,2.200000000000000000e+01,9.000000000000000000e+00,5.236296296296305854e+02,9.216898663126654583e+02,5.791559727137503000e-01
4.915000000000000000e+02,9.220487804878048337e+02,2.200000000000000000e+01,8.000000000000000000e+00,4.909485596707827426e+02,9.216898663126654583e+02,6.579557901585907365e-01
4.588710010319917387e+02,9.221289989680082044e+02,2.200000000000000000e+01,7.000000000000000000e+00,4.582674897119348998e+02,9.216898663126654583e+02,7.463668015293279945e-01
4.261289989680082044e+02,9.221289989680082044e+02,2.200000000000000000e+01,6.000000000000000000e+00,4.255864197530870570e+02,9.216898663126654583e+02,6.980184048095149363e-01
3.934130434782608745e+02,9.223271221532090749e+02,2.200000000000000000e+01,5.000000000000000000e+00,3.929053497942392141e+02,9.216898663126654583e+02,8.147686070918765955e-01
3.607655453618756383e+02,9.223557594291538635e+02,2.200000000000000000e+01,4.000000000000000000e+00,3.602242798353913713e+02,9.216898663126654583e+02,8.581270376505634179e-01
3.280000000000000000e+02,9.225000000000000000e+02,2.200000000000000000e+01,3.000000000000000000e+00,3.275432098765435285e+02,9.216898663126654583e+02,9.300396810037943052e-01
2.952849794238683216e+02,9.226018518518518476e+02,2.200000000000000000e+01,2.000000000000000000e+00,2.948621399176956857e+02,9.216898663126654583e+02,1.005241698133044981e+00
3.280000000000000000e+02,8.897873210633946428e+02,2.100000000000000000e+01,3.000000000000000000e+00,3.275432098765435285e+02,8.890046727046541264e+02,9.061984718187305887e-01
2.951289989680082613e+02,8.898710010319916819e+02,2.100000000000000000e+01,2.000000000000000000e+00,2.948621399176956857e+02,8.890046727046541264e+02,9.064979445543251968e-01
2.625363636363636601e+02,8.899757575757575978e+02,2.100000000000000000e+01,1.000000000000000000e+00,2.621810699588478428e+02,8.890046727046541264e+02,1.034040339720244894e+00
2.298533333333333246e+02,8.900882051282051179e+02,2.100000000000000000e+01,0.000000000000000000e+00,2.295000000000000000e+02,8.890046727046541264e+02,1.139687219078429292e+00
1.047500000000000000e+03,8.895000000000000000e+02,2.100000000000000000e+01,2.500000000000000000e+01,1.046526748971195957e+03,8.890046727046541264e+02,1.092047020316793127e+00
1.014718407960198874e+03,8.892815920398008984e+02,2.100000000000000000e+01,2.400000000000000000e+01,1.013845679012348228e+03,8.890046727046541264e+02,9.156091603924824129e-01
9.819311377245509220e+02,8.893173652694611064e+02,2.100000000000000000e+01,2.300000000000000000e+01,9.811646090535003850e+02,8.890046727046541264e+02,8.278543613631987874e-01
9.490882051282051179e+02,8.891466666666666470e+02,2.100000000000000000e+01,2.200000000000000000e+01,9.484835390946525422e+02,8.890046727046541264e+02,6.211145605926637892e-01
9.163816568047337796e+02,8.891005917159762930e+02,2.100000000000000000e+01,2.100000000000000000e+01,9.158024691358046994e+02,8.890046727046541264e+02,5.870764963550523241e-01
8.837047047047046817e+02,8.891551551551551711e+02,2.100000000000000000e+01,2.000000000000000000e+01,8.831213991769568565e+02,8.890046727046541264e+02,6.024037737348333366e-01
8.509117948717947684e+02,8.891466666666666470e+02,2.100000000000000000e+01,1.900000000000000000e+01,8.504403292181090137e+02,8.890046727046541264e+02,4.923841466308080395e-01
8.181466666666666470e+02,8.890882051282051179e+02,2.100000000000000000e+01,1.800000000000000000e+01,8.177592592592611709e+02,8.890046727046541264e+02,3.963106926351278592e-01
7.855363636363636033e+02,8.890242424242424022e+02,2.100000000000000000e+01,1.700000000000000000e+01,7.850781893004133281e+02,8.890046727046541264e+02,4.585920802284307318e-01
7.528533333333332394e+02,8.890882051282051179e+02,2.100000000000000000e+01,1.600000000000000000e+01,7.523971193415654852e+02,8.890046727046541264e+02,4.637983096874876421e-01
7.201466666666666470e+02,8.890882051282051179e+02,2.100000000000000000e+01,1.500000000000000000e+01,7.197160493827176424e+02,8.890046727046541264e+02,4.386444015599878510e-01
6.875000000000000000e+02,8.890487804878048337e+02,2.100000000000000000e+01,1.400000000000000000e+01,6.870349794238697996e+02,8.890046727046541264e+02,4.671077314270588587e-01
6.548710010319916819e+02,8.891289989680082044e+02,2.100000000000000000e+01,1.300000000000000000e+01,6.543539094650219567e+02,8.890046727046541264e+02,5.318277055502028672e-01
